"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
3.102,0.236,0.6,13,763,0,9.4,0.25,36.53655,56
3.118,0.112,11.6,3,612,0.03,1.5,0.22,2.71335,60
2.333,0.108,10.3,3,633,0.02,1.8,0.14,3.70815,50
2.219,0.102,12.2,4,618,0.05,1.3,0.46,1.71855,81
2.002,0.073,16.9,17,475,0.01,NA,1.4,90.27079,55
1.784,0.07,12.2,21,451,NA,NA,1.9,46.40029,30
NA,NA,12.2,21,436,0.13,NA,1.9,46.10782,50
NA,NA,12,23,420,NA,NA,2,34.70149,50
1.913,0.092,12.1,23,416,NA,NA,2.4,39.77097,50
NA,NA,12.2,19,410,NA,NA,3.1,24.17257,56
2.117,0.071,12,25,435,NA,NA,2.8,24.36755,50
1.715,0.08,12,22,416,NA,NA,3.5,40.64838,51
1.64,0.079,12,26,476,NA,NA,6.7,53.90702,43
0.995,0.125,18,30,356,0.02,NA,1.4,100.60473,36
1.715,0.088,12,22,420,NA,NA,2.8,41.13583,50
1.591,0.09,12.4,23,421,NA,NA,3.6,46.49778,45
1.619,0.07,13,17,408,0.24,NA,1.1,44.06053,61
1.807,0.069,12.8,22,416,NA,NA,2.8,43.08563,56
NA,NA,13.2,18,450,0.23,NA,2.2,60.43885,55
NA,NA,15.1,14,456,0.06,NA,1.8,38.5036,55
NA,NA,13.2,18,440,0.27,NA,2.3,48.2526,57
1.477,0.059,15.2,15,454,0.08,NA,2,73.30753,65
NA,NA,15.8,15,456,0.1,NA,2,67.55562,60
1.612,0.063,17.6,17,456,0.09,NA,1.7,80.4243,50
NA,NA,13.1,20,420,NA,NA,3.9,46.69276,55
NA,NA,12.8,25,410,NA,NA,1.9,39.18603,55
NA,NA,20,41,380,0.04,NA,1.7,NA,30
NA,NA,20,27,405,0.03,NA,0.9,136.77352,36
1.948,0.087,12.6,25,464,NA,NA,4.9,53.80953,50
NA,NA,14.9,10,465,0.12,14.9,2.7,73.89247,75
1.713,0.054,13.2,10,484,NA,13.7,4.3,50.68985,80
NA,NA,11.4,9,190,0.06,11.6,1.9,28.65711,90
NA,NA,14.6,12,465,NA,17.2,1.9,63.75351,80
